#{"t_start": 1732630653.111244, "env_id": "None"}
r,l,t
0.005427,1001,1.969222
0.012862,1001,3.507864
0.03113,251,4.014387
0.025352,1001,5.470335
0.063455,597,6.424232
0.023491,172,6.826287
0.024062,421,7.545308
0.022839,1001,9.065265
0.007974,238,9.563983
0.019299,1001,11.007376
0.010063,63,11.268987
0.043909,375,11.936573
0.010111,308,12.517687
0.012909,489,13.321128
0.023612,1001,14.817168
0.004244,1001,16.291909
0.046413,646,20.170679
0.029178,1001,26.238654
0.000874,198,27.489668
0.029355,124,28.42418
0.0,471,31.209246
0.017149,92,31.977187
0.018599,337,34.015225
